company,segment,fit_score,city,postcode,street,website,generic_email,phone_public,source,source_url,fit_reason,next_step
ABEX Kemmerling Gebäudetechnik,Gebäudetechnik / Wartung,75,Köln,50674,Aachener Straße 82-84,,,,OpenStreetMap/Nominatim,https://www.openstreetmap.org/node/12157963042,"Lokaler Service-/Handwerksbetrieb mit potenzieller Touren-, Termin- oder Kundendienstdisposition.","Website/Unternehmensgröße ergänzen, dann Fit erneut bewerten."
Kaspari Heizung Sanitär Klima GmbH,SHK / Heizungs- und Sanitärservice,75,Bonn,53179,Drachenburgstraße 5a,,,,OpenStreetMap/Nominatim,https://www.openstreetmap.org/way/45349809,"Lokaler Service-/Handwerksbetrieb mit potenzieller Touren-, Termin- oder Kundendienstdisposition.","Website/Unternehmensgröße ergänzen, dann Fit erneut bewerten."
Küpper Sanitär Heizung,SHK / Heizungs- und Sanitärservice,75,Bonn,53175,Godesberger Straße 55,,,,OpenStreetMap/Nominatim,https://www.openstreetmap.org/way/43856455,"Lokaler Service-/Handwerksbetrieb mit potenzieller Touren-, Termin- oder Kundendienstdisposition.","Website/Unternehmensgröße ergänzen, dann Fit erneut bewerten."
Winkel GmbH Sanitär Heizung,SHK / Heizungs- und Sanitärservice,75,Bonn,53175,Annaberger Straße 231-233,,,,OpenStreetMap/Nominatim,https://www.openstreetmap.org/node/711902925,"Lokaler Service-/Handwerksbetrieb mit potenzieller Touren-, Termin- oder Kundendienstdisposition.","Website/Unternehmensgröße ergänzen, dann Fit erneut bewerten."
Heizung & Sanitär Zimmermann,SHK / Heizungs- und Sanitärservice,75,Dortmund,44319,Asselner Hellweg 215,,,,OpenStreetMap/Nominatim,https://www.openstreetmap.org/way/53671879,"Lokaler Service-/Handwerksbetrieb mit potenzieller Touren-, Termin- oder Kundendienstdisposition.","Website/Unternehmensgröße ergänzen, dann Fit erneut bewerten."
Ulrich Schütt e.K. Sanitär - Heizung - Solar,SHK / Heizungs- und Sanitärservice,75,Dortmund,44265,Fritz-Menze-Straße 10,,,,OpenStreetMap/Nominatim,https://www.openstreetmap.org/node/5412852596,"Lokaler Service-/Handwerksbetrieb mit potenzieller Touren-, Termin- oder Kundendienstdisposition.","Website/Unternehmensgröße ergänzen, dann Fit erneut bewerten."
Weissmann GmbH Sanitär-Heizung,SHK / Heizungs- und Sanitärservice,75,Düsseldorf,40217,Talstraße 120,,,,OpenStreetMap/Nominatim,https://www.openstreetmap.org/node/7710978516,"Lokaler Service-/Handwerksbetrieb mit potenzieller Touren-, Termin- oder Kundendienstdisposition.","Website/Unternehmensgröße ergänzen, dann Fit erneut bewerten."
Sanitär Heizung Jörg Wolff GmbH,SHK / Heizungs- und Sanitärservice,75,Köln,51065,Kalk-Mülheimer Straße 301,,,,OpenStreetMap/Nominatim,https://www.openstreetmap.org/node/10118097007,"Lokaler Service-/Handwerksbetrieb mit potenzieller Touren-, Termin- oder Kundendienstdisposition.","Website/Unternehmensgröße ergänzen, dann Fit erneut bewerten."
Sanitär & Heizung Marc Sallermann,SHK / Heizungs- und Sanitärservice,75,Wuppertal,42119,Weststraße 22,,,,OpenStreetMap/Nominatim,https://www.openstreetmap.org/node/12850851844,"Lokaler Service-/Handwerksbetrieb mit potenzieller Touren-, Termin- oder Kundendienstdisposition.","Website/Unternehmensgröße ergänzen, dann Fit erneut bewerten."
GGM Sanitär Heizung Elektro,SHK / Heizungs- und Sanitärservice,65,Neuss,41460,Koppersstraße 27,,,,OpenStreetMap/Nominatim,https://www.openstreetmap.org/node/3753380670,"Lokaler Service-/Handwerksbetrieb mit potenzieller Touren-, Termin- oder Kundendienstdisposition.","Website/Unternehmensgröße ergänzen, dann Fit erneut bewerten."
